2013年1月1日 春节
2013年1月15日 元宵节
2013年2月2日 龙抬头
2013年5月5日 端午节
2013年7月7日 七夕情人节
2013年7月15日 鬼节(中元节)
2013年8月15日 中秋节
2013年9月9日 重阳节
2013年12月8日 腊八节(冬至节)
