2013年1月1日 春節
2013年1月15日 元宵節
2013年3月3日 上巳節
2013年4月8日 佛陀誕辰紀念日
2013年5月5日 端午節(詩人節)
2013年7月1日 鬼門
2013年7月7日 七夕情人節
2013年7月15日 中元節
2013年8月15日 中秋節
2013年9月9日 重陽節
