2013年1月1日 元旦　
2013年2月14日 情人节
2013年3月5日 青年志愿者服务日　
2013年3月8日 劳动妇女节
2013年3月12日 植树节
2013年3月14日 国际警察日
2013年3月15日 消费者权益日
2013年4月1日 愚人节
2013年4月7日 世界卫生日
2013年4月7日 世界无烟日  
2013年4月22日 世界地球日  
2013年5月1日 劳动节
2013年5月4日 青年节 
2013年5月12日 国际护士节  
2013年5月17日 世界电信日  
2013年5月31日 世界无烟草日  
2013年6月1日 儿童节
2013年7月1日 建党节　
2013年7月1日 香港回归纪念日
2013年8月1日 建军节  
2013年9月10日 教师节
2013年10月1日 国庆节 
2013年11月1日 万圣节
2013年12月20日 澳门回归纪念日
2013年12月24日 平安夜
2013年12月25日 圣诞节
