2013年1月1日 開國紀念日(元旦)
2013年2月14日 西洋情人節
2013年2月28日 和平紀念日
2013年3月8日 婦女節
2013年3月12日 植樹節
2013年3月12日 國父逝世紀念日
2013年3月14日 反侵略日
2013年3月29日 青年節(革命先烈紀念日)
2013年4月4日 兒童節
2013年5月1日 勞動節
2013年5月4日 文藝節
2013年6月3日 禁煙節
2013年6月9日 鐵路節
2013年7月15日 解嚴紀念日
2013年8月8日 父親節
2013年9月1日 記者節
2013年9月3日 軍人節
2013年9月28日 教師節(孔子誕辰)
2013年10月10日 國慶日
2013年10月21日 華僑節
2013年10月24日 聯合國日
2013年10月25日 臺灣光復節
2013年11月12日 國父誕辰紀念日
2013年11月24日 感恩節 
2013年12月24日 平安夜
2013年12月25日 聖誕節
2013年12月25日 行憲紀念日
